question_type,left_number,right_number,correct_answer,user_answer,response_time_sec,at_risk
Which is bigger?,5,60,right,right,3.66,0
Which is smaller?,76,41,right,right,1.91,0
Which is bigger?,62,33,left,right,8.46,1
Choose the number closest to 10.,12,65,left,left,4.3,0
Which is smaller?,72,92,left,left,3.23,0
Which is smaller?,30,83,left,left,5.9,0
Choose the number closest to 10.,67,60,right,right,4.09,0
Choose the number closest to 10.,74,28,right,left,5.45,1
Which is smaller?,45,17,right,right,4.86,0
Which is smaller?,61,99,left,left,4.4,0
Choose the number closest to 10.,12,80,left,left,4.39,0
Choose the number closest to 10.,19,61,left,left,3.57,0
Which is smaller?,69,11,right,right,4.45,0
Choose the number closest to 10.,100,10,right,right,3.74,0
Which is smaller?,6,20,left,left,4.56,0
Choose the number closest to 10.,85,79,right,right,2.1,0
Choose the number closest to 10.,24,9,right,right,3.57,0
Which is smaller?,28,94,left,left,5.72,0
Which is smaller?,68,98,left,right,5.85,1
Which is bigger?,44,20,left,left,3.4,0
Which is bigger?,52,35,left,right,6.33,1
Which is smaller?,5,96,left,left,2.79,0
Which is bigger?,76,71,left,left,1.79,0
Choose the number closest to 10.,33,39,left,right,6.65,1
Choose the number closest to 10.,25,71,left,left,4.14,0
Which is bigger?,41,30,left,left,3.95,0
Choose the number closest to 10.,39,52,left,right,6.78,1
Choose the number closest to 10.,7,43,left,left,4.04,0
Which is smaller?,57,36,right,right,5.02,0
Which is smaller?,47,58,left,left,3.81,0
Which is smaller?,11,47,left,right,6.14,1
Which is bigger?,27,73,right,right,3.72,0
Which is bigger?,77,5,left,left,4.58,0
Which is smaller?,99,42,right,right,5.41,0
Which is smaller?,81,90,left,left,3.37,0
Which is bigger?,86,77,left,left,4.1,0
Which is bigger?,13,11,left,right,7.51,1
Which is smaller?,100,65,right,left,5.51,1
Which is bigger?,77,88,right,right,4.02,0
Which is smaller?,38,91,left,right,4.8,1
Choose the number closest to 10.,50,7,right,right,2.23,0
Which is bigger?,22,82,right,right,4.37,0
Choose the number closest to 10.,80,48,right,left,6.42,1
Which is smaller?,35,90,left,right,7.3,1
Choose the number closest to 10.,23,1,right,left,6.97,1
Choose the number closest to 10.,18,24,left,left,3.02,0
Which is smaller?,73,46,right,left,6.93,1
Which is bigger?,2,21,right,left,5.15,1
Choose the number closest to 10.,7,11,right,right,5.39,0
Which is smaller?,28,93,left,right,4.97,1
Which is smaller?,84,88,left,left,3.8,0
Which is smaller?,57,82,left,right,5.44,1
Which is smaller?,5,57,left,left,4.57,0
Which is smaller?,13,98,left,left,3.67,0
Which is bigger?,17,60,right,right,3.48,0
Which is bigger?,46,91,right,right,4.85,0
Choose the number closest to 10.,47,83,left,left,4.03,0
Which is bigger?,86,97,right,left,7.77,1
Which is bigger?,2,51,right,right,3.02,0
Choose the number closest to 10.,80,28,right,left,4.89,1
Choose the number closest to 10.,2,27,left,left,4.11,0
Choose the number closest to 10.,16,1,left,left,3.68,0
Which is bigger?,5,28,right,right,4.63,0
Choose the number closest to 10.,79,90,left,right,6.88,1
Which is smaller?,9,10,left,left,4.21,0
Choose the number closest to 10.,79,13,right,left,4.56,1
Choose the number closest to 10.,44,79,left,left,5.89,0
Which is bigger?,70,46,left,left,3.84,0
Which is bigger?,48,88,right,right,4.7,0
Which is bigger?,6,47,right,right,3.16,0
Which is bigger?,8,53,right,left,7.46,1
Choose the number closest to 10.,74,2,right,right,2.7,0
Which is smaller?,74,55,right,left,7.68,1
Choose the number closest to 10.,8,10,right,right,3.64,0
Choose the number closest to 10.,57,62,left,left,4.03,0
Choose the number closest to 10.,31,62,left,left,4.7,0
Choose the number closest to 10.,88,17,right,right,2.77,0
Which is bigger?,85,25,left,left,3.32,0
Which is smaller?,40,75,left,left,4.46,0
Which is smaller?,29,3,right,right,6.1,1
Which is smaller?,59,49,right,right,3.86,0
Which is bigger?,43,42,left,left,4.59,0
Which is bigger?,82,45,left,right,6.84,1
Which is bigger?,64,28,left,right,9.91,1
Which is smaller?,33,17,right,left,4.38,1
Which is bigger?,37,14,left,left,4.09,0
Which is smaller?,24,75,left,left,2.37,0
Which is bigger?,85,74,left,left,1.49,0
Which is bigger?,29,40,right,right,4.3,0
Which is bigger?,9,2,left,left,4.14,0
Which is bigger?,74,6,left,left,3.72,0
Which is smaller?,87,6,right,right,3.89,0
Which is bigger?,82,98,right,left,11.65,1
Choose the number closest to 10.,53,66,left,left,3.74,0
Which is bigger?,20,15,left,left,4.51,0
Which is smaller?,57,29,right,right,3.35,0
Choose the number closest to 10.,1,37,left,right,7.44,1
Which is smaller?,59,43,right,right,3.76,0
Choose the number closest to 10.,72,70,right,right,3.59,0
Choose the number closest to 10.,24,12,right,right,5.82,0
Choose the number closest to 10.,76,99,left,left,5.18,0
Which is bigger?,51,6,left,left,4.14,0
Which is bigger?,54,86,right,left,3.54,1
Which is bigger?,2,89,right,right,3.64,0
Which is smaller?,46,67,left,left,6.7,1
Which is smaller?,60,4,right,right,3.77,0
Which is bigger?,1,57,right,right,5.1,0
Which is smaller?,21,29,left,left,5.44,0
Choose the number closest to 10.,1,24,left,left,4.22,0
Choose the number closest to 10.,22,13,right,right,3.16,0
Choose the number closest to 10.,93,85,right,right,1.56,0
Which is smaller?,68,16,right,right,4.68,0
Which is smaller?,93,1,right,right,3.19,0
Choose the number closest to 10.,13,56,left,left,4.18,0
Which is bigger?,65,56,left,left,2.75,0
Which is smaller?,43,71,left,left,3.73,0
Choose the number closest to 10.,76,41,right,right,4.03,0
Which is smaller?,89,61,right,right,4.27,0
Choose the number closest to 10.,13,49,left,left,2.89,0
Which is bigger?,91,7,left,left,5.2,0
Which is smaller?,31,62,left,left,3.4,0
Choose the number closest to 10.,78,28,right,right,2.33,0
Which is smaller?,78,20,right,right,3.89,0
Choose the number closest to 10.,62,23,right,left,7.05,1
Which is smaller?,43,40,right,left,7.24,1
Choose the number closest to 10.,13,66,left,left,5.36,0
Choose the number closest to 10.,97,62,right,right,3.76,0
Which is bigger?,23,71,right,right,3.88,0
Which is smaller?,69,17,right,right,2.9,0
Which is bigger?,18,85,right,left,8.23,1
Which is bigger?,33,12,left,left,4.18,0
Which is smaller?,36,84,left,left,3.58,0
Which is bigger?,96,68,left,left,2.1,0
Which is bigger?,54,47,left,left,5.44,0
Choose the number closest to 10.,26,90,left,left,2.77,0
Which is bigger?,95,81,left,left,3.41,0
Which is bigger?,5,82,right,right,4.36,0
Which is bigger?,36,92,right,right,2.8,0
Which is bigger?,17,92,right,right,2.51,0
Which is smaller?,17,90,left,right,3.81,1
Which is bigger?,48,92,right,right,4.72,0
Which is bigger?,65,12,left,left,3.45,0
Which is bigger?,53,33,left,left,6.93,1
Which is bigger?,88,8,left,left,3.01,0
Choose the number closest to 10.,30,57,left,left,3.08,0
Which is smaller?,51,75,left,left,3.43,0
Choose the number closest to 10.,29,17,right,right,4.24,0
Choose the number closest to 10.,3,84,left,left,3.53,0
Choose the number closest to 10.,12,54,left,left,4.61,0
Choose the number closest to 10.,96,10,right,right,3.02,0
Which is smaller?,78,6,right,left,4.93,1
Which is bigger?,75,96,right,left,4.3,1
Which is bigger?,16,4,left,left,1.78,0
Choose the number closest to 10.,70,36,right,right,3.48,0
Which is smaller?,51,21,right,right,3.7,0
Which is bigger?,26,16,left,left,3.37,0
Which is bigger?,65,8,left,left,5.24,0
Choose the number closest to 10.,48,54,left,right,8.84,1
Which is smaller?,59,97,left,right,6.5,1
Which is bigger?,50,30,left,left,2.21,0
Which is bigger?,11,74,right,right,3.43,0
Which is smaller?,47,8,right,right,3.4,0
Which is smaller?,100,98,right,right,3.34,0
Which is smaller?,84,5,right,right,3.3,0
Which is smaller?,51,26,right,right,3.35,0
Choose the number closest to 10.,99,25,right,right,3.61,0
Choose the number closest to 10.,54,45,right,right,3.36,0
Choose the number closest to 10.,78,49,right,right,4.21,0
Which is bigger?,17,22,right,right,4.36,0
Which is smaller?,16,12,right,right,3.09,0
Which is bigger?,33,28,left,left,5.27,0
Choose the number closest to 10.,18,95,left,left,3.02,0
Choose the number closest to 10.,72,90,left,left,2.38,0
Choose the number closest to 10.,20,13,right,right,4.38,0
Choose the number closest to 10.,82,6,right,right,3.18,0
Which is smaller?,77,88,left,left,4.32,0
Choose the number closest to 10.,80,53,right,right,1.6,0
Which is bigger?,93,40,left,right,9.09,1
Choose the number closest to 10.,11,85,left,left,4.67,0
Choose the number closest to 10.,49,34,right,right,2.5,0
Choose the number closest to 10.,44,31,right,left,4.78,1
Choose the number closest to 10.,37,59,left,right,9.51,1
Which is bigger?,47,86,right,right,3.26,0
Choose the number closest to 10.,31,29,right,right,3.17,0
Which is bigger?,5,89,right,right,1.73,0
Which is bigger?,91,47,left,right,6.47,1
Choose the number closest to 10.,64,52,right,right,3.77,0
Choose the number closest to 10.,35,48,left,right,8.07,1
Choose the number closest to 10.,50,89,left,left,2.6,0
Which is smaller?,64,43,right,right,2.48,0
Which is smaller?,76,92,left,right,7.68,1
Which is smaller?,93,99,left,right,8.51,1
Choose the number closest to 10.,43,26,right,right,2.43,0
Which is bigger?,56,48,left,left,5.08,0
Which is smaller?,51,50,right,left,7.06,1
Choose the number closest to 10.,100,65,right,right,5.09,0
Which is bigger?,56,27,left,right,6.89,1
Which is bigger?,11,23,right,right,1.48,0
Which is smaller?,3,69,left,left,3.85,0
Which is bigger?,74,43,left,right,8.59,1
Choose the number closest to 10.,40,66,left,left,3.11,0
Which is smaller?,24,98,left,left,3.61,0
Which is bigger?,42,48,right,right,3.82,0
Which is smaller?,39,58,left,left,1.1,0
Which is bigger?,2,59,right,left,9.51,1
Which is smaller?,18,31,left,left,3.1,0
Choose the number closest to 10.,76,16,right,right,4.51,0
Which is smaller?,16,37,left,left,3.91,0
Choose the number closest to 10.,34,84,left,left,5.26,0
Which is bigger?,32,21,left,right,7.61,1
Which is bigger?,39,100,right,right,3.77,0
Which is smaller?,28,92,left,right,5.66,1
Which is smaller?,73,53,right,right,4.8,0
Which is smaller?,29,14,right,left,4.19,1
Choose the number closest to 10.,3,4,right,right,4.65,0
Choose the number closest to 10.,94,16,right,right,2.9,0
Choose the number closest to 10.,46,22,right,right,5.25,0
Which is bigger?,11,48,right,right,4.16,0
Which is smaller?,12,72,left,left,4.64,0
Which is bigger?,27,47,right,left,7.12,1
Choose the number closest to 10.,36,95,left,right,4.37,1
Which is smaller?,65,59,right,right,3.14,0
Choose the number closest to 10.,84,87,left,left,4.67,0
Which is bigger?,64,25,left,left,4.17,0
Which is bigger?,83,87,right,right,5.18,0
Choose the number closest to 10.,53,44,right,left,7.6,1
Which is bigger?,29,57,right,right,3.03,0
Which is bigger?,74,56,left,left,3.2,0
Which is smaller?,53,25,right,right,4.1,0
Which is bigger?,15,36,right,left,3.53,1
Choose the number closest to 10.,6,98,left,left,5.67,0
Which is smaller?,20,57,left,right,7.66,1
Which is bigger?,4,48,right,right,5.23,0
Choose the number closest to 10.,85,6,right,right,2.42,0
Which is bigger?,62,88,right,right,5.24,0
Which is bigger?,9,40,right,right,6.23,1
Which is smaller?,85,25,right,right,2.68,0
Which is bigger?,78,39,left,left,4.77,0
Choose the number closest to 10.,89,16,right,right,4.0,0
Which is bigger?,98,51,left,left,2.46,0
Choose the number closest to 10.,89,12,right,right,4.49,0
Which is bigger?,5,26,right,right,4.83,0
Which is smaller?,80,45,right,right,3.4,0
Which is bigger?,67,100,right,right,5.17,0
Choose the number closest to 10.,4,77,left,left,2.33,0
Choose the number closest to 10.,93,81,right,left,4.76,1
Which is bigger?,45,17,left,left,4.14,0
Choose the number closest to 10.,46,85,left,left,4.03,0
Which is bigger?,19,22,right,right,3.28,0
Choose the number closest to 10.,99,57,right,right,4.81,0
Choose the number closest to 10.,25,67,left,left,4.53,0
Which is bigger?,1,37,right,right,4.86,0
Which is smaller?,89,29,right,right,3.88,0
Which is bigger?,17,30,right,right,4.6,0
Which is bigger?,65,45,left,right,6.33,1
Which is smaller?,51,12,right,left,10.08,1
Choose the number closest to 10.,59,6,right,right,3.19,0
Which is smaller?,78,64,right,right,6.11,1
Which is bigger?,98,65,left,right,7.05,1
Which is bigger?,49,5,left,left,2.62,0
Which is smaller?,16,20,left,left,5.37,0
Which is smaller?,83,71,right,right,4.13,0
Choose the number closest to 10.,87,72,right,right,4.85,0
Which is bigger?,91,12,left,right,8.84,1
Which is smaller?,86,81,right,right,4.34,0
Choose the number closest to 10.,98,34,right,right,3.41,0
Which is smaller?,100,52,right,right,4.98,0
Which is smaller?,57,97,left,left,4.0,0
Which is bigger?,27,28,right,left,8.03,1
Which is bigger?,19,21,right,left,3.77,1
Choose the number closest to 10.,3,82,left,left,4.45,0
Choose the number closest to 10.,38,33,right,left,6.04,1
Which is smaller?,72,86,left,right,9.48,1
Choose the number closest to 10.,20,92,left,right,7.93,1
Choose the number closest to 10.,81,24,right,right,4.24,0
Which is smaller?,52,8,right,right,4.49,0
Choose the number closest to 10.,44,28,right,right,3.0,0
Which is bigger?,50,32,left,right,9.43,1
Choose the number closest to 10.,93,62,right,left,9.99,1
Which is bigger?,9,83,right,right,4.39,0
Which is bigger?,35,51,right,right,5.59,0
Which is smaller?,36,14,right,left,6.15,1
Which is bigger?,63,86,right,right,3.2,0
Choose the number closest to 10.,40,99,left,left,4.04,0
Choose the number closest to 10.,42,20,right,right,4.43,0
Choose the number closest to 10.,10,29,left,left,3.61,0
Which is bigger?,52,85,right,right,4.54,0
Which is smaller?,85,52,right,right,4.31,0
Choose the number closest to 10.,61,85,left,left,3.0,0
Which is bigger?,41,94,right,right,4.52,0
Which is smaller?,6,47,left,left,4.86,0
Choose the number closest to 10.,10,23,left,right,7.26,1
Choose the number closest to 10.,9,48,left,left,5.15,0
Choose the number closest to 10.,35,10,right,right,2.78,0
Choose the number closest to 10.,44,43,right,right,4.47,0
Which is bigger?,73,86,right,right,2.83,0
Choose the number closest to 10.,49,76,left,right,5.33,1
Choose the number closest to 10.,42,58,left,left,3.37,0
Which is smaller?,24,8,right,right,3.06,0
Which is bigger?,18,3,left,left,3.45,0
Which is smaller?,21,86,left,left,3.79,0
Choose the number closest to 10.,84,64,right,right,4.84,0
Choose the number closest to 10.,85,12,right,right,3.68,0
Which is bigger?,26,74,right,right,2.41,0
Choose the number closest to 10.,56,80,left,left,5.14,0
Choose the number closest to 10.,73,83,left,left,3.16,0
Which is bigger?,73,67,left,left,3.94,0
Which is bigger?,22,55,right,right,4.45,0
Which is smaller?,30,11,right,right,4.2,0
Which is bigger?,17,57,right,right,5.09,0
Choose the number closest to 10.,98,4,right,right,4.48,0
Which is smaller?,90,74,right,left,5.71,1
Choose the number closest to 10.,80,61,right,right,6.18,1
Which is smaller?,46,31,right,left,7.29,1
Which is bigger?,81,88,right,right,3.85,0
Choose the number closest to 10.,89,40,right,right,4.96,0
Choose the number closest to 10.,12,81,left,left,4.25,0
Which is smaller?,40,25,right,right,4.4,0
Choose the number closest to 10.,87,93,left,left,6.49,1
Choose the number closest to 10.,43,24,right,right,3.72,0
Which is bigger?,6,21,right,right,3.68,0
Which is bigger?,46,4,left,left,4.12,0
Which is smaller?,49,35,right,left,8.61,1
Choose the number closest to 10.,82,59,right,right,2.49,0
Which is smaller?,62,1,right,right,2.03,0
Which is bigger?,18,54,right,left,6.12,1
Which is smaller?,51,40,right,right,2.37,0
Choose the number closest to 10.,98,56,right,right,3.58,0
Which is smaller?,74,58,right,right,4.5,0
Which is smaller?,12,54,left,right,5.66,1
Which is smaller?,45,55,left,left,2.57,0
Which is bigger?,33,43,right,right,4.07,0
Which is smaller?,32,46,left,left,4.86,0
Which is bigger?,61,26,left,left,2.31,0
Choose the number closest to 10.,50,35,right,right,4.82,0
Choose the number closest to 10.,24,60,left,left,4.82,0
Which is bigger?,82,73,left,left,4.95,0
Which is bigger?,73,90,right,right,5.22,0
Which is smaller?,27,7,right,right,6.2,1
Choose the number closest to 10.,60,93,left,left,3.64,0
Which is smaller?,45,15,right,right,4.11,0
Which is bigger?,60,53,left,left,3.58,0
Which is smaller?,39,31,right,left,7.0,1
Which is smaller?,79,38,right,left,9.3,1
Choose the number closest to 10.,72,73,left,left,2.65,0
Choose the number closest to 10.,51,45,right,left,5.71,1
Which is smaller?,85,56,right,right,5.38,0
Which is smaller?,97,34,right,left,8.53,1
Which is smaller?,96,29,right,right,3.64,0
Which is smaller?,10,40,left,left,4.85,0
Which is smaller?,73,78,left,left,4.34,0
Choose the number closest to 10.,32,91,left,right,9.25,1
Which is smaller?,36,75,left,left,4.07,0
Which is bigger?,74,35,left,right,8.54,1
Which is smaller?,3,68,left,left,6.64,1
Choose the number closest to 10.,90,72,right,right,4.6,0
Which is bigger?,7,76,right,right,4.05,0
Which is smaller?,17,78,left,left,4.72,0
Choose the number closest to 10.,28,74,left,left,3.63,0
Choose the number closest to 10.,83,99,left,right,10.58,1
Choose the number closest to 10.,35,13,right,right,4.18,0
Which is bigger?,2,98,right,right,3.73,0
Which is bigger?,8,89,right,right,3.16,0
Which is smaller?,98,6,right,right,5.1,0
Which is smaller?,67,45,right,right,4.87,0
Choose the number closest to 10.,91,53,right,right,3.5,0
Which is smaller?,75,17,right,left,7.86,1
Which is bigger?,5,32,right,right,2.49,0
Which is smaller?,36,73,left,left,4.18,0
Which is smaller?,49,9,right,right,4.45,0
Choose the number closest to 10.,29,73,left,left,5.71,0
Which is bigger?,19,95,right,left,5.84,1
Which is bigger?,18,100,right,right,2.72,0
Choose the number closest to 10.,60,43,right,left,5.66,1
Which is smaller?,68,91,left,left,2.66,0
Which is bigger?,43,75,right,right,5.34,0
Choose the number closest to 10.,61,1,right,right,5.55,0
Which is smaller?,11,74,left,left,4.32,0
Which is bigger?,34,91,right,right,5.22,0
Which is smaller?,25,34,left,left,4.13,0
Which is smaller?,50,29,right,right,3.9,0
Which is bigger?,70,71,right,right,3.67,0
Which is bigger?,38,24,left,left,3.69,0
Which is smaller?,21,86,left,left,2.45,0
Which is bigger?,32,25,left,left,4.26,0
Which is smaller?,24,34,left,left,3.96,0
Choose the number closest to 10.,14,3,left,left,4.75,0
Choose the number closest to 10.,58,92,left,left,4.09,0
Choose the number closest to 10.,95,89,right,right,3.84,0
Choose the number closest to 10.,51,70,left,right,5.69,1
Which is bigger?,71,84,right,right,4.07,0
Choose the number closest to 10.,19,73,left,right,8.11,1
Which is smaller?,97,75,right,left,5.28,1
Which is bigger?,84,12,left,left,4.09,0
Which is smaller?,57,37,right,right,4.23,0
Which is smaller?,25,5,right,right,3.28,0
Which is smaller?,8,20,left,left,3.41,0
Which is smaller?,7,21,left,left,4.23,0
Choose the number closest to 10.,79,36,right,right,2.87,0
Which is smaller?,24,58,left,left,4.35,0
Choose the number closest to 10.,97,98,left,left,3.1,0
Which is bigger?,18,67,right,left,8.59,1
Choose the number closest to 10.,30,2,right,right,6.34,1
Which is bigger?,43,52,right,right,3.14,0
Which is bigger?,28,27,left,right,7.8,1
Which is bigger?,3,29,right,right,3.27,0
Which is smaller?,60,57,right,right,5.04,0
Choose the number closest to 10.,16,86,left,right,5.1,1
Which is smaller?,47,2,right,right,4.48,0
Which is smaller?,19,100,left,left,3.13,0
Choose the number closest to 10.,45,97,left,right,6.69,1
Which is bigger?,96,8,left,left,2.97,0
Choose the number closest to 10.,48,27,right,right,4.82,0
Which is bigger?,30,95,right,right,3.16,0
Which is smaller?,63,22,right,right,4.55,0
Which is bigger?,35,92,right,left,6.48,1
Which is bigger?,6,17,right,right,3.89,0
Which is smaller?,9,75,left,right,7.22,1
Which is bigger?,12,59,right,right,3.24,0
Which is bigger?,85,17,left,left,4.21,0
Which is smaller?,8,57,left,right,9.3,1
Choose the number closest to 10.,53,34,right,right,3.22,0
Choose the number closest to 10.,60,94,left,left,5.17,0
Which is bigger?,61,83,right,right,5.5,0
Which is smaller?,42,34,right,right,3.18,0
Choose the number closest to 10.,77,24,right,left,4.82,1
Which is bigger?,50,47,left,left,4.3,0
Which is bigger?,69,57,left,left,3.45,0
Choose the number closest to 10.,61,81,left,left,5.87,0
Choose the number closest to 10.,9,24,left,left,4.03,0
Choose the number closest to 10.,6,75,left,left,3.2,0
Which is smaller?,50,51,left,left,2.85,0
Which is smaller?,92,33,right,left,8.63,1
Choose the number closest to 10.,95,19,right,left,6.14,1
Which is smaller?,32,81,left,left,4.04,0
Choose the number closest to 10.,99,10,right,right,4.96,0
Which is bigger?,17,11,left,left,3.52,0
Which is bigger?,16,68,right,right,3.95,0
Choose the number closest to 10.,6,31,left,left,3.98,0
Choose the number closest to 10.,71,54,right,left,8.02,1
Choose the number closest to 10.,79,7,right,right,4.59,0
Which is bigger?,59,7,left,right,6.67,1
Which is smaller?,38,89,left,left,4.06,0
Choose the number closest to 10.,29,77,left,left,3.63,0
Which is bigger?,76,80,right,right,2.52,0
Choose the number closest to 10.,46,23,right,right,4.26,0
Choose the number closest to 10.,98,15,right,right,5.89,0
Which is bigger?,23,19,left,right,5.67,1
Which is smaller?,96,33,right,right,3.23,0
Choose the number closest to 10.,59,24,right,right,3.13,0
Which is smaller?,38,20,right,right,4.72,0
Which is smaller?,23,49,left,left,4.45,0
Choose the number closest to 10.,34,76,left,right,6.76,1
Which is smaller?,25,95,left,left,3.08,0
Choose the number closest to 10.,70,26,right,right,4.09,0
Which is smaller?,38,39,left,left,2.44,0
Which is bigger?,40,65,right,left,7.22,1
Which is smaller?,66,77,left,left,4.87,0
Which is smaller?,2,35,left,left,2.75,0
Which is bigger?,2,48,right,right,2.47,0
Which is smaller?,99,65,right,right,5.58,0
Which is bigger?,79,99,right,left,6.08,1
Which is bigger?,88,58,left,left,5.14,0
Choose the number closest to 10.,90,24,right,right,3.85,0
Choose the number closest to 10.,85,27,right,right,3.84,0
Choose the number closest to 10.,95,41,right,right,4.44,0
Which is smaller?,24,58,left,right,5.67,1
Which is smaller?,41,22,right,right,4.13,0
Which is smaller?,73,20,right,right,3.62,0
Which is bigger?,52,45,left,left,2.68,0
Which is bigger?,78,18,left,left,4.34,0
Which is smaller?,74,93,left,right,6.61,1
Which is bigger?,76,37,left,left,3.84,0
Which is smaller?,99,53,right,right,2.79,0
Which is bigger?,76,41,left,left,5.59,0
Choose the number closest to 10.,90,75,right,right,4.88,0
Which is smaller?,32,60,left,left,4.96,0
Which is bigger?,83,53,left,left,3.69,0
Choose the number closest to 10.,93,38,right,right,2.27,0
Which is bigger?,6,56,right,right,5.95,0
Which is smaller?,85,34,right,right,3.94,0
Which is bigger?,83,86,right,right,3.25,0
Which is bigger?,25,27,right,right,4.42,0
Which is bigger?,84,69,left,left,5.17,0
Which is bigger?,6,35,right,right,3.98,0
Which is bigger?,91,21,left,left,5.28,0
Choose the number closest to 10.,11,23,left,right,8.62,1
Which is bigger?,23,10,left,left,2.92,0
Which is smaller?,66,85,left,right,5.99,1
Which is bigger?,92,48,left,left,4.96,0
Which is smaller?,70,54,right,right,1.29,0
Which is smaller?,39,2,right,right,3.85,0
Choose the number closest to 10.,15,68,left,left,2.57,0
Choose the number closest to 10.,69,8,right,right,3.52,0
Which is smaller?,97,18,right,left,6.55,1
Choose the number closest to 10.,1,6,right,right,3.64,0
Which is bigger?,73,65,left,right,6.17,1
Which is smaller?,57,82,left,left,2.9,0
Which is bigger?,41,67,right,right,6.29,1
Choose the number closest to 10.,50,82,left,left,5.87,0
Which is smaller?,96,40,right,right,2.84,0
Which is bigger?,77,56,left,left,5.58,0
Which is bigger?,38,85,right,right,3.6,0
Choose the number closest to 10.,19,92,left,right,7.19,1
Which is bigger?,23,10,left,left,3.94,0
Which is bigger?,40,89,right,right,3.34,0
Which is smaller?,21,79,left,left,4.98,0
Which is bigger?,15,37,right,right,4.13,0
Choose the number closest to 10.,73,99,left,right,6.29,1
Which is bigger?,12,61,right,left,5.04,1
Which is smaller?,20,98,left,left,3.11,0
Choose the number closest to 10.,77,79,left,left,2.36,0
Choose the number closest to 10.,68,13,right,right,4.01,0
Choose the number closest to 10.,90,26,right,right,2.8,0
Choose the number closest to 10.,3,8,right,right,3.73,0
Which is smaller?,55,53,right,right,5.37,0
Choose the number closest to 10.,96,22,right,right,5.2,0
Which is bigger?,1,45,right,left,6.95,1
Choose the number closest to 10.,21,70,left,left,3.91,0
Choose the number closest to 10.,51,25,right,left,9.82,1
Which is bigger?,42,81,right,right,4.52,0
Which is bigger?,35,32,left,right,6.51,1
Which is bigger?,71,91,right,right,2.57,0
Which is smaller?,71,89,left,left,4.39,0
Which is smaller?,79,22,right,right,4.83,0
Choose the number closest to 10.,99,79,right,right,3.37,0
Which is smaller?,51,69,left,left,4.29,0
Which is bigger?,59,97,right,right,3.64,0
Which is bigger?,30,23,left,right,6.72,1
Which is bigger?,65,79,right,left,3.27,1
Choose the number closest to 10.,27,28,left,right,6.67,1
Which is smaller?,96,11,right,right,4.97,0
Choose the number closest to 10.,15,81,left,right,6.05,1
Which is smaller?,23,51,left,left,4.05,0
Which is bigger?,56,71,right,right,3.24,0
Which is bigger?,1,10,right,right,4.36,0
Choose the number closest to 10.,65,21,right,right,3.78,0
Which is bigger?,92,78,left,left,3.06,0
Choose the number closest to 10.,70,66,right,right,5.33,0
Which is bigger?,45,24,left,left,4.93,0
Choose the number closest to 10.,94,9,right,right,3.4,0
Which is smaller?,91,98,left,left,4.5,0
Choose the number closest to 10.,3,52,left,right,7.81,1
Which is smaller?,64,50,right,right,4.64,0
Which is bigger?,55,97,right,right,2.31,0
Which is smaller?,75,22,right,right,5.01,0
Choose the number closest to 10.,67,13,right,left,6.15,1
Which is smaller?,32,99,left,left,3.64,0
Which is bigger?,60,78,right,right,6.64,1
Which is smaller?,15,59,left,right,7.45,1
Choose the number closest to 10.,15,46,left,right,6.42,1
Which is smaller?,75,69,right,right,1.79,0
Choose the number closest to 10.,89,39,right,right,5.39,0
Which is smaller?,23,95,left,left,2.65,0
Choose the number closest to 10.,94,20,right,right,3.0,0
Which is smaller?,48,90,left,right,6.5,1
Which is smaller?,69,50,right,right,5.42,0
Choose the number closest to 10.,46,74,left,right,8.16,1
Which is bigger?,42,58,right,right,3.84,0
Choose the number closest to 10.,65,76,left,left,4.31,0
Which is bigger?,44,42,left,left,3.4,0
Which is smaller?,86,56,right,right,4.14,0
Which is bigger?,98,57,left,left,4.07,0
Which is bigger?,75,78,right,right,4.97,0
Which is smaller?,81,61,right,right,4.97,0
Choose the number closest to 10.,53,55,left,left,4.49,0
Which is smaller?,9,98,left,left,3.64,0
Choose the number closest to 10.,51,63,left,left,4.74,0
Which is bigger?,71,77,right,right,3.91,0
Choose the number closest to 10.,88,64,right,right,2.92,0
Which is smaller?,88,80,right,left,6.4,1
Which is smaller?,52,36,right,right,4.08,0
Choose the number closest to 10.,25,78,left,right,8.37,1
Which is smaller?,15,53,left,left,3.82,0
Which is smaller?,59,67,left,right,5.19,1
Which is smaller?,27,52,left,left,4.06,0
Choose the number closest to 10.,69,14,right,left,7.17,1
Which is smaller?,100,75,right,right,4.19,0
Which is smaller?,38,41,left,left,4.92,0
Choose the number closest to 10.,22,85,left,left,5.02,0
Which is smaller?,2,42,left,right,6.11,1
Which is bigger?,5,21,right,right,3.38,0
Which is smaller?,6,51,left,left,2.96,0
Choose the number closest to 10.,78,8,right,right,4.7,0
Choose the number closest to 10.,23,35,left,left,5.45,0
Which is smaller?,46,67,left,left,3.68,0
Which is bigger?,1,72,right,left,6.64,1
Choose the number closest to 10.,72,25,right,left,9.2,1
Which is bigger?,43,62,right,right,4.51,0
Choose the number closest to 10.,71,31,right,right,4.44,0
Choose the number closest to 10.,61,34,right,left,5.21,1
Choose the number closest to 10.,14,71,left,left,4.68,0
Which is bigger?,2,20,right,left,5.61,1
Which is smaller?,48,2,right,right,2.87,0
Which is bigger?,6,87,right,right,3.65,0
Which is smaller?,98,87,right,right,3.41,0
Choose the number closest to 10.,100,77,right,right,3.78,0
