Age,Question,Correct_Response,Incorrect_Response
6,Is 'flig' a real word?,A,Mispronounced
4,What sound do you hear at the end of 'fish'?,B,Random word
7,Which word rhymes with 'tree': 'bee' or 'rock'?,D,Mispronounced
6,"What word comes after 'red' in this list: 'red, blue, ...'?",A,Mispronounced
6,Say this sentence: 'I love to read books.',Cat,Wrong answer
7,"What word comes after 'red' in this list: 'red, blue, ...'?",Dog,Gibberish
4,What sound do you hear at the beginning of 'zebra'?,A,Gibberish
5,What sound do you hear at the beginning of 'zebra'?,C,Random word
2,"What word comes after 'red' in this list: 'red, blue, ...'?",No,Mispronounced
5,What is the first letter of 'apple'?,Dog,Wrong answer
5,Say this sentence: 'The big dog ran fast.',Yes,Wrong answer
3,Which word starts with the same letter as 'banana': 'dog' or 'ball'?,Cat,Random word
3,What sound do you hear at the end of 'fish'?,Cat,Wrong answer
5,What is missing from this word: '_og'?,B,Random word
6,Which word has more syllables: 'happy' or 'hippopotamus'?,D,Random word
5,Which word has more syllables: 'happy' or 'hippopotamus'?,Yes,Mispronounced
2,What is missing from this word: '_og'?,Cat,Wrong answer
7,Say this sentence: 'I love to read books.',C,Mispronounced
4,"Say these words: 'ball, bat, bag'.",Hat,Random word
6,What is the first letter of 'apple'?,Ball,Gibberish
2,"Say these words: 'ball, bat, bag'.",Cat,Mispronounced
5,Can you say 'butterfly'?,A,Random word
4,Which word rhymes with 'tree': 'bee' or 'rock'?,D,Random word
6,Say this sentence: 'I love to read books.',Yes,Gibberish
7,Do these letters spell a word? 'H-A-T',Hat,Wrong answer
2,Which word has more syllables: 'happy' or 'hippopotamus'?,Ball,Mispronounced
6,Which word is longer: 'sun' or 'elephant'?,C,Mispronounced
5,Which word starts with the same letter as 'banana': 'dog' or 'ball'?,Cat,Mispronounced
5,"What word comes after 'red' in this list: 'red, blue, ...'?",Cat,Random word
6,What is the first letter of 'apple'?,C,Random word
6,Can you say the word 'dog'?,Hat,Wrong answer
3,"What word comes after 'red' in this list: 'red, blue, ...'?",D,Random word
7,"Say these words: 'ball, bat, bag'.",Dog,Wrong answer
2,Can you say the word 'dog'?,Yes,Wrong answer
2,Can you say 'butterfly'?,Dog,Mispronounced
3,"What word comes after 'red' in this list: 'red, blue, ...'?",D,Random word
7,What sound does the letter 'B' make?,A,Mispronounced
6,"What word comes after 'red' in this list: 'red, blue, ...'?",A,Gibberish
4,What sound do you hear at the beginning of 'zebra'?,B,Gibberish
7,Which word has more syllables: 'happy' or 'hippopotamus'?,Dog,Wrong answer
6,What sound do you hear at the end of 'fish'?,B,Gibberish
6,Which word starts with the same letter as 'banana': 'dog' or 'ball'?,D,Mispronounced
3,"Say these words: 'ball, bat, bag'.",D,Gibberish
5,Say this sentence: 'I love to read books.',Ball,Wrong answer
7,What is missing from this word: '_og'?,Dog,Wrong answer
6,What is missing from this word: '_og'?,Hat,Wrong answer
3,What is the first letter of 'apple'?,D,Random word
4,"Say these words: 'ball, bat, bag'.",B,Wrong answer
3,How many syllables are in 'elephant'?,No,Gibberish
7,Which word has more syllables: 'happy' or 'hippopotamus'?,A,Mispronounced
3,Do 'cat' and 'bat' rhyme?,C,Gibberish
6,What sound do you hear at the beginning of 'zebra'?,No,Gibberish
6,Can you say 'butterfly'?,No,Random word
6,Do these letters spell a word? 'H-A-T',C,Mispronounced
4,What sound do you hear at the beginning of 'zebra'?,Yes,Mispronounced
7,Say this sentence: 'I love to read books.',C,Mispronounced
6,Can you say the word 'dog'?,Ball,Mispronounced
5,"Say these words: 'ball, bat, bag'.",B,Mispronounced
